,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
661,David Wotherspoon,MF,ca Canada,32,1.sct St Johnstone,1990,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
662,Bailey Wright,DF,au Australia,29,2.eng Sunderland,1992,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
663,Haji Wright,FW,us USA,24,1.tr Antalyaspor,1998,4,1,137,1.5,1,0,1,1,0,0,0,0,0.66,0,0.66,0.66,0.66,Matches
664,Granit Xhaka,MF,ch Switzerland,29,1.eng Arsenal,1992,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
665,Miki Yamane,DF,jp Japan,28,1.jp Kawasaki F.,1993,1,1,61,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
666,Jawad El Yamiq,DF,ma Morocco,30,1.es Valladolid,1992,6,3,309,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
667,Taha Yassine Khenissi,FW,tn Tunisia,30,1.kw Kuwait SC,1992,2,0,29,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
668,DeAndre Yedlin,"DF,MF",us USA,28,1.us Inter Miami,1993,2,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
669,Maya Yoshida,DF,jp Japan,33,1.de Schalke 04,1988,4,4,390,4.3,0,1,1,0,0,0,1,0,0,0.23,0.23,0,0.23,Matches
670,Kim Young-gwon,DF,kr Korea Republic,32,1.kr Ulsan Hyundai,1990,4,4,350,3.9,1,0,1,1,0,0,1,0,0.26,0,0.26,0.26,0.26,Matches
671,Cho Yu-min,DF,kr Korea Republic,25,2.kr Daejeon Hana,1996,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
672,Denis Zakaria,"DF,MF",ch Switzerland,25,1.eng Chelsea,1996,2,0,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
673,Nicola Zalewski,MF,pl Poland,20,1.it Roma,2002,2,1,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
674,Álvaro Zamora,FW,cr Costa Rica,20,1.cr Saprissa,2002,1,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
675,Anass Zaroury,"FW,MF",ma Morocco,21,2.eng Burnley,2000,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
676,Piotr Zieli?ski,MF,pl Poland,28,1.it Napoli,1994,4,4,328,3.6,1,0,1,1,0,0,0,0,0.27,0,0.27,0.27,0.27,Matches
677,Walker Zimmerman,DF,us USA,29,1.us Nashville SC,1993,4,3,279,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
678,Andrija Živkovi?,MF,rs Serbia,25,1.gr PAOK,1996,3,3,210,2.3,0,2,2,0,0,0,0,0,0,0.86,0.86,0,0.86,Matches
679,Hakim Ziyech,"FW,MF",ma Morocco,29,1.eng Chelsea,1993,7,7,635,7.1,1,1,2,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,Matches
680,Filip ?uri?i?,"FW,MF",rs Serbia,30,1.it Sampdoria,1992,2,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,
