Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
216,Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,20,2004,34,31,"2,661",29.6,3,1,4,3,0,0,8,1,0.1,0.03,0.14,0.1,0.14,Matches
217,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,25,1999,27,27,"2,273",25.3,0,0,0,0,0,0,9,1,0,0,0,0,0,Matches
218,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,32,1992,25,12,"1,200",13.3,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
219,Fodé Ballo-Touré,sn SEN,"DF,MF",Le Havre,fr Ligue 1,27,1997,10,9,589,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
220,Botond Balogh,hu HUN,DF,Parma,it Serie A,22,2002,29,23,"2,053",22.8,0,1,1,0,0,0,5,0,0,0.04,0.04,0,0.04,Matches
221,Folarin Balogun,us USA,FW,Monaco,fr Ligue 1,23,2001,13,7,615,6.8,4,0,4,4,0,0,0,0,0.59,0,0.59,0.59,0.59,Matches
222,Mario Balotelli,it ITA,FW,Genoa,it Serie A,33,1990,6,0,62,0.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
223,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,34,1990,19,16,"1,510",16.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
224,Jonathan Bamba,ci CIV,"MF,FW",Celta Vigo,es La Liga,28,1996,12,10,811,9,0,1,1,0,0,0,1,0,0,0.11,0.11,0,0.11,Matches
225,Mohamed Bamba,ci CIV,MF,Reims,fr Ligue 1,19,2004,2,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
226,Samuel Bamba,de GER,FW,Bochum,de Bundesliga,20,2004,5,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
227,Lameck Banda,zm ZAM,"MF,FW",Lecce,it Serie A,23,2001,15,6,610,6.8,0,1,1,0,0,0,1,0,0,0.15,0.15,0,0.15,Matches
228,Daniel Bandeira,pt POR,MF,Hellas Verona,it Serie A,24,2000,11,4,407,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
229,Mattia Bani,it ITA,DF,Genoa,it Serie A,30,1993,20,19,"1,507",16.7,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
230,Noahkai Banks,us USA,DF,Augsburg,de Bundesliga,17,2006,8,2,278,3.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
231,Scott Banks,sct SCO,MF,St Pauli,de Bundesliga,22,2001,12,0,116,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
232,Adrian Baquerin,es ESP,FW,Valladolid,es La Liga,17,2007,5,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
233,Antonín Barák,cz CZE,MF,Fiorentina,it Serie A,29,1994,1,1,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
234,Federico Barba,it ITA,DF,Como,it Serie A,30,1993,7,5,431,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
235,Valentín Barco,ar ARG,DF,Sevilla,es La Liga,20,2004,7,3,288,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
236,Valentín Barco,ar ARG,MF,Strasbourg,fr Ligue 1,20,2004,14,14,"1,157",12.9,0,2,2,0,0,0,2,0,0,0.16,0.16,0,0.16,Matches
237,Bradley Barcola,fr FRA,FW,PSG,fr Ligue 1,21,2002,34,27,"2,181",24.2,14,10,24,14,0,0,2,0,0.58,0.41,0.99,0.58,0.99,Matches
238,Melvin Bard,fr FRA,"DF,MF",Nice,fr Ligue 1,23,2000,24,22,"1,938",21.5,2,1,3,2,0,0,4,2,0.09,0.05,0.14,0.09,0.14,Matches
239,Nicolò Barella,it ITA,MF,Inter,it Serie A,27,1997,33,29,"2,493",27.7,3,6,9,3,0,0,4,0,0.11,0.22,0.32,0.11,0.32,Matches
240,Gabriel Bares,ch SUI,MF,Montpellier,fr Ligue 1,23,2000,6,0,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
241,Borna Barišić,hr CRO,DF,Leganés,es La Liga,31,1992,1,1,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
242,Téo Barisic,hr CRO,DF,Lyon,fr Ligue 1,19,2004,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
243,Kike Barja,es ESP,"FW,MF",Osasuna,es La Liga,27,1997,15,3,315,3.5,0,1,1,0,0,0,3,0,0,0.29,0.29,0,0.29,Matches
244,Ross Barkley,eng ENG,MF,Aston Villa,eng Premier League,30,1993,20,3,581,6.5,3,1,4,3,0,0,3,0,0.46,0.15,0.62,0.46,0.62,Matches
245,Aymen Barkok,ma MAR,MF,Mainz 05,de Bundesliga,26,1998,4,0,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
246,Harvey Barnes,eng ENG,"FW,MF",Newcastle,eng Premier League,26,1997,33,17,"1,755",19.5,9,4,13,9,0,0,0,0,0.46,0.21,0.67,0.46,0.67,Matches
247,Enzo Barrenechea,ar ARG,MF,Valencia,es La Liga,23,2001,30,26,"2,191",24.3,1,2,3,1,0,0,6,0,0.04,0.08,0.12,0.04,0.12,Matches
248,Ander Barrenetxea,es ESP,MF,Real Sociedad,es La Liga,22,2001,30,14,"1,263",14,1,3,4,1,0,0,6,0,0.07,0.21,0.29,0.07,0.29,Matches
249,Pablo Barrios,es ESP,MF,Atlético Madrid,es La Liga,21,2003,31,28,"2,330",25.9,1,4,5,1,0,0,4,1,0.04,0.15,0.19,0.04,0.19,Matches
250,Thierno Barry,fr FRA,FW,Villarreal,es La Liga,21,2002,35,25,"2,323",25.8,11,4,15,10,1,1,4,0,0.43,0.15,0.58,0.39,0.54,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
251,Davide Bartesaghi,it ITA,DF,Milan,it Serie A,18,2005,4,1,118,1.3,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
252,Marc Bartra,es ESP,DF,Real Betis,es La Liga,33,1991,25,23,"2,099",23.3,2,1,3,2,0,0,2,0,0.09,0.04,0.13,0.09,0.13,Matches
253,Federico Baschirotto,it ITA,DF,Lecce,it Serie A,27,1996,38,38,"3,420",38,2,0,2,2,0,0,3,0,0.05,0,0.05,0.05,0.05,Matches
254,Daniele Baselli,it ITA,MF,Como,it Serie A,32,1992,2,1,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
255,Calvin Bassey,ng NGA,DF,Fulham,eng Premier League,24,1999,35,34,"3,074",34.2,1,0,1,1,0,0,7,0,0.03,0,0.03,0.03,0.03,Matches
256,Aboubacar Bassinga,bf BFA,MF,Las Palmas,es La Liga,19,2005,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
257,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,25,1999,33,31,"2,401",26.7,1,5,6,1,0,0,6,1,0.04,0.19,0.22,0.04,0.22,Matches
258,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,28,1996,32,32,"2,880",32,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches
259,Michy Batshuayi,be BEL,FW,Frankfurt,de Bundesliga,30,1993,10,3,300,3.3,3,0,3,3,0,0,2,0,0.9,0,0.9,0.9,0.9,Matches
260,Dylan Batubinsika,cd COD,DF,Saint-Étienne,fr Ligue 1,28,1996,25,22,"2,016",22.4,1,0,1,1,0,0,3,1,0.04,0,0.04,0.04,0.04,Matches
261,Maximilian Bauer,de GER,DF,Augsburg,de Bundesliga,24,2000,11,8,658,7.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
262,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,34,1990,28,28,"2,520",28,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
263,Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,de Bundesliga,24,1999,31,18,"1,610",17.9,2,1,3,2,0,0,5,0,0.11,0.06,0.17,0.11,0.17,Matches
264,Rafael Bauza,es ESP,MF,Espanyol,es La Liga,19,2005,5,2,183,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
265,Altay Bayındır,tr TUR,GK,Manchester Utd,eng Premier League,26,1998,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
266,Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,de Bundesliga,30,1994,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
267,Adrian Beck,de GER,"MF,FW",Heidenheim,de Bundesliga,27,1997,32,18,"1,598",17.8,4,1,5,4,0,0,1,0,0.23,0.06,0.28,0.23,0.28,Matches
268,Sheraldo Becker,sr SUR,"MF,FW",Real Sociedad,es La Liga,29,1995,22,11,995,11.1,2,1,3,2,0,0,1,1,0.18,0.09,0.27,0.18,0.27,Matches
269,Timo Becker,de GER,"DF,MF",Holstein Kiel,de Bundesliga,27,1997,30,28,"2,445",27.2,0,2,2,0,0,0,2,0,0,0.07,0.07,0,0.07,Matches
270,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,28,1996,30,30,"2,531",28.1,2,0,2,2,0,0,7,0,0.07,0,0.07,0.07,0.07,Matches
271,Donny van de Beek,nl NED,MF,Girona,es La Liga,27,1997,26,16,"1,421",15.8,2,2,4,2,0,0,5,0,0.13,0.13,0.25,0.13,0.25,Matches
272,Hannes Behrens,de GER,DF,Hoffenheim,de Bundesliga,19,2005,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
273,Kevin Behrens,de GER,FW,Wolfsburg,de Bundesliga,33,1991,18,0,170,1.9,1,0,1,1,0,0,2,0,0.53,0,0.53,0.53,0.53,Matches
274,Maximilian Beier,de GER,"MF,FW",Dortmund,de Bundesliga,21,2002,29,17,"1,591",17.7,8,5,13,8,0,0,2,0,0.45,0.28,0.74,0.45,0.74,Matches
275,Luken Beitia,es ESP,DF,Real Sociedad,es La Liga,20,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
276,Ismael Bekhoucha,ma MAR,DF,Getafe,es La Liga,19,2004,5,0,69,0.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
277,Reda Belahyane,ma MAR,MF,Hellas Verona,it Serie A,20,2004,22,17,"1,658",18.4,0,2,2,0,0,0,6,1,0,0.11,0.11,0,0.11,Matches
278,Reda Belahyane,ma MAR,MF,Lazio,it Serie A,20,2004,6,1,198,2.2,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
279,Haris Belkebla,dz ALG,MF,Angers,fr Ligue 1,30,1994,22,21,"1,792",19.9,0,1,1,0,0,0,1,0,0,0.05,0.05,0,0.05,Matches
280,Yassin Belkhdim,fr FRA,MF,Angers,fr Ligue 1,22,2002,29,16,"1,523",16.9,1,1,2,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,Matches
281,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,32,1991,18,15,"1,436",16,0,1,1,0,0,0,4,0,0,0.06,0.06,0,0.06,Matches
282,Armel Bella Kotchap,de GER,DF,Southampton,eng Premier League,22,2001,4,2,331,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
