"number";"player";"team";"apps";"min";"goals";"NPG";"a";"xG";"NPxG";"xA";"xGChain";"xGBuildup";"xG90";"NPxG90";"xA90";"xG90xA90";"NPxG90xA90";"xGChain90";"xGBuildup90"
348;"Costinha";"Brighton";2;29;0;0;0;0.05;0.05;0;0.34;0.31;0.16;0.16;0;0.16;0.16;1.04;0.97
349;"Zadok Yohanna";"Brighton";1;7;0;0;0;0;0;0;0.31;0.31;0;0;0;0;0;4.01;4.01
350;"Promise David";"Brighton";1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
351;"António Silva";"Bournemouth";2;180;0;0;0;0.14;0.14;0;0.27;0.27;0.07;0.07;0;0.07;0.07;0.14;0.14
352;"Lukás Hornícek";"Newcastle United";2;180;0;0;0;0;0;0;0.19;0.19;0;0;0;0;0;0.09;0.09
353;"Sean Steur";"Newcastle United";2;75;0;0;0;0;0;0;0.06;0.06;0;0;0;0;0;0.07;0.07
354;"Geovany Quenda";"Chelsea";1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
355;"Zavier Gozo";"Crystal Palace";1;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
356;"Kaden Braithwaite";"Manchester City";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
357;"Ephron Mason-Clark";"Coventry";1;60;0;0;0;0;0;0.03;0.04;0.01;0;0;0.04;0.04;0.04;0.06;0.02
358;"Hidemasa Morita";"Hull";1;48;0;0;0;0;0;0.02;0.02;0;0;0;0.03;0.03;0.03;0.03;0
