Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
21,Ragnar Ache,de GER,FW,Köln,de Bundesliga,27,1998,29,18,"1,718",19.1,7,4,11,7,0,0,3,0,0.37,0.21,0.58,0.37,0.58,Matches
22,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19,2006,17,8,666,7.4,1,0,1,1,0,0,1,0,0.14,0,0.14,0.14,0.14,Matches
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25,2000,32,21,"2,064",22.9,10,3,13,7,3,3,3,0,0.44,0.13,0.57,0.31,0.44,Matches
24,Ché Adams,sct SCO,FW,Torino,it Serie A,29,1996,33,19,"1,893",21,6,2,8,6,0,0,0,0,0.29,0.1,0.38,0.29,0.38,Matches
25,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26,1999,25,21,"1,772",19.7,2,2,4,2,0,0,8,0,0.1,0.1,0.2,0.1,0.2,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24,2001,9,7,446,5,1,1,2,1,0,0,1,0,0.2,0.2,0.4,0.2,0.4,Matches
27,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,27,1997,16,8,795,8.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
28,Jayden Addai,nl NED,MF,Como,it Serie A,19,2005,12,7,686,7.6,3,0,3,3,0,0,4,0,0.39,0,0.39,0.39,0.39,Matches
29,Karim Adeyemi,de GER,"MF,FW",Dortmund,de Bundesliga,23,2002,28,15,"1,195",13.3,7,4,11,7,0,0,5,0,0.53,0.3,0.83,0.53,0.83,Matches
30,Simon Adingra,ci CIV,"MF,FW",Sunderland,eng Premier League,23,2002,14,9,653,7.3,1,0,1,1,0,0,2,0,0.14,0,0.14,0.14,0.14,Matches
31,Simon Adingra,ci CIV,"MF,FW",Monaco,fr Ligue 1,23,2002,14,10,855,9.5,3,2,5,3,0,0,0,0,0.32,0.21,0.53,0.32,0.53,Matches
